DATE_TIME,TEMPERATURE,RELATIVE_HUMIDITY,SOLAR_RADIATION,OZONE,PRECIPITATION,WINDSPEED,WIND_DIRECTION,WINDSPEED_SCALAR
8/29/12 0:00,25.5,46,0,58,0,2.3,295,2.4
8/29/12 1:00,24.9,51,0,55,0,2.4,306,2.5
8/29/12 2:00,24.2,52,0,53,0,2.0999,290,2.2
8/29/12 3:00,24,52,0,53,0,2.5,291,2.5
8/29/12 4:00,23.4,56,0,53,0,3,311,3
8/29/12 5:00,22.9,59,0,51,0,3.5999,311,3.7
8/29/12 6:00,22.9,62,11,56,0,3.5999,305,3.5999
8/29/12 7:00,23.1,63,59,56,0,3.5,320,3.5999
8/29/12 8:00,23.2999,65,184,56,0,3.3,331,3.3
8/29/12 9:00,24.7999,60,471,57,0,3.7,350,3.9
8/29/12 10:00,25.4,58,480,58,0,3,1,3.2
8/29/12 11:00,26.7999,52,728,59,0,2.7,353,3.2
8/29/12 12:00,27.4,49,366,60,0,2.5999,46,3.2
8/29/12 13:00,27.9,46,239,60,0,0.6999,103,1.6
8/29/12 14:00,26.6,52,326,59,7.8,5.0999,4,5.9
8/29/12 15:00,21.2,83,177,54,11.6,4.1999,322,5
8/29/12 16:00,23,63,232,52,0,3.5,309,3.5999
8/29/12 17:00,25.2999,55,97,53,0,3,303,3.0999
8/29/12 18:00,25.5,54,48,54,0,2.8,299,2.9
8/29/12 19:00,25.5,53,16,55,0,2.7,295,2.8
8/29/12 20:00,25.6,52,13,56,0,2.3,283,2.4
8/29/12 21:00,25.4,50,6,56,0,1.3,277,1.5
8/29/12 22:00,25.7,48,5,57,0,1.6,275,1.7
8/29/12 23:00,24.7999,53,5,54,0,2.3,304,2.4
8/30/12 0:00,24.2999,56,5,54,0,2.7,298,2.8
8/30/12 1:00,23.7999,59,5,52,0,2.4,299,2.4
8/30/12 2:00,23.7,60,5,53,0,2.5,295,2.5
8/30/12 3:00,23.2,60,14,52,0,2.9,292,3
8/30/12 4:00,22.5,62,21,52,0,3,290,3.0999
8/30/12 5:00,22.4,56,22,53,0,2.2,290,2.3
8/30/12 6:00,22.2,55,42,54,0,2.3,294,2.4
8/30/12 7:00,22.2999,54,143,50,0,3.0999,313,3.0999
8/30/12 8:00,23.5,47,441,55,0,3.5,321,3.5999
8/30/12 9:00,24.7999,43,653,59,0,3.2,341,3.2
8/30/12 10:00,26.5,36,696,65,0,2,5,2.3
8/30/12 11:00,28,28,1050,68,0,2.0999,39,2.5
8/30/12 12:00,28.7999,23,1061,71,0,3.5,21,3.8
8/30/12 13:00,29.1,21,1042,70,0,3.2,24,3.7
8/30/12 14:00,29.9,21,959,69,0,2.4,355,2.8
8/30/12 15:00,30.2,20,806,68,0,3.0999,7,3.3
8/30/12 16:00,30.5,18,611,69,0,3.2,7,3.4
8/30/12 17:00,30.5,18,376,68,0,2.4,12,2.5999
8/30/12 18:00,29.9,21,145,68,0,2.5999,27,2.7
8/30/12 19:00,27.2,28,43,61,0,0.6,352,1.1
8/30/12 20:00,25,34,35,59,0,0.5,249,0.6999
8/30/12 21:00,24.2,35,35,60,0,1.1,244,1.2
8/30/12 22:00,24.2,34,35,63,0,1.7,234,1.8
8/30/12 23:00,23,38,35,60,0,1.2,251,1.4
8/31/12 0:00,23.6,35,36,65,0,1.5,240,1.5
8/31/12 1:00,24,34,37,66,0,2.7,230,2.7
8/31/12 2:00,23.7,34,37,147,0,2.4,217,2.5999
8/31/12 3:00,22.2999,38,33,63,0,2.5999,210,2.7
8/31/12 4:00,20.9,42,13,59,0,1.5,221,1.5
8/31/12 5:00,22.6,36,12,62,0,1.6,237,1.7
8/31/12 6:00,21.7,40,23,63,0,2.5,235,2.5
8/31/12 7:00,24,36,185,60,0,0.1,324,1
8/31/12 8:00,25.1,32,420,61,0,2.0999,357,2.2
8/31/12 9:00,26.6,28,644,62,0,1.4,37,1.7
8/31/12 10:00,28.6,25,830,64,0,2.4,98,2.7
8/31/12 11:00,29.9,24,954,67,0,2.7,128,3
8/31/12 12:00,30.7,26,1023,71,0,2.9,123,3.5
8/31/12 13:00,31.5,23,1021,69,0,1.4,121,2.7
8/31/12 14:00,32,22,947,68,0,2.3,115,2.8
8/31/12 15:00,32.5999,22,801,68,0,2.2,109,2.8
8/31/12 16:00,33,20,612,67,0,2.4,105,2.9
8/31/12 17:00,33,20,405,65,0,1.7,60,2.4
8/31/12 18:00,32.5,20,172,66,0,1.8,51,2
8/31/12 19:00,29.2999,27,50,57,0,0.3,237,0.6
8/31/12 20:00,28.4,28,41,59,0,0.8,257,1
8/31/12 21:00,28.7999,26,38,61,0,2.0999,271,2.3
8/31/12 22:00,27.5,29,34,62,0,3,232,3.3
8/31/12 23:00,27.2999,31,33,61,0,3.2,196,3.3
9/1/12 0:00,28.2999,31,37,61,0,4.5,194,4.5
9/1/12 1:00,28.1,32,28,61,0,5.6999,197,5.6999
9/1/12 2:00,28,32,14,143,0,4.9,187,5
9/1/12 3:00,26.7999,38,12,58,0,3.8,181,3.8
9/1/12 4:00,26.1,39,12,56,0,3.9,171,4
9/1/12 5:00,26.2,44,11,56,0,4.4,182,4.5999
9/1/12 6:00,25.6,47,23,54,0,3.0999,181,3.2
9/1/12 7:00,26.4,46,180,53,0,2.5,164,2.5999
9/1/12 8:00,27.6,43,433,54,0,1.2,165,2.3
9/1/12 9:00,28,41,655,51,0,1.5,71,2.2
9/1/12 10:00,29.5,36,841,60,0,3.0999,144,3.5
9/1/12 11:00,30.2999,33,934,59,0,3.3,152,3.5
9/1/12 12:00,31.4,29,1017,58,0,2.5999,147,3.0999
9/1/12 13:00,32,26,871,57,0,2.0999,100,2.7
9/1/12 14:00,32.5999,26,875,56,0,2.2,123,3.0999
9/1/12 15:00,33.2,26,860,55,0,1.5,105,3.0999
9/1/12 16:00,32.7999,28,397,53,0,2.2,57,2.8
9/1/12 17:00,32.9,27,354,53,0,2.2,65,2.5
9/1/12 18:00,32.7,26,103,53,0,1.6,54,1.9
9/1/12 19:00,31.6,29,13,50,0,2.4,136,2.9
9/1/12 20:00,30.1,35,9,44,0,4.9,164,5
9/1/12 21:00,29.4,36,8,39,0,4.6999,173,4.8
9/1/12 22:00,28.7,41,7,36,0,5.5,179,5.6999
9/1/12 23:00,27.9,46,9,35,0,4.4,179,4.5
9/2/12 0:00,27.2,49,10,34,0,4.1999,184,4.3
9/2/12 1:00,26.7,50,8,34,0,3.8,176,3.9
9/2/12 2:00,26.1,52,7,125,0,2.5999,179,2.5999
9/2/12 3:00,26,51,6,33,0,2.5999,165,2.5999
9/2/12 4:00,25.5,52,5,32,0,2,178,2.0999
9/2/12 5:00,25.2,53,4,31,0,3.7,150,3.7
9/2/12 6:00,25.2,54,16,31,0,3.8,167,3.8
9/2/12 7:00,25.7999,53,170,31,0,3.4,142,3.5
9/2/12 8:00,26.7,52,392,30,0,3.4,131,3.5
9/2/12 9:00,27.5,49,608,32,0,4.1999,132,4.3
9/2/12 10:00,28.7,46,789,33,0,3,123,3.3
9/2/12 11:00,29.9,42,918,34,0,2.3,128,3
9/2/12 12:00,30.9,38,986,36,0,1.6,114,2.5
9/2/12 13:00,31.6,33,987,39,0,2,4,2.5999
9/2/12 14:00,32.7,30,839,41,0,0.8999,68,2.5999
9/2/12 15:00,33.4,27,791,43,0,0.4,97,2.2
9/2/12 16:00,33.9,27,613,41,0,0.1,332,2.3
9/2/12 17:00,33,29,99,40,0,2.7,43,2.8
9/2/12 18:00,32.4,31,33,39,0,2,87,2.0999
9/2/12 19:00,29.9,40,4,37,0,4.5999,157,4.9
9/2/12 20:00,28.1,46,3,36,0,3.4,159,3.5
9/2/12 21:00,28.4,45,3,35,0,3.5999,183,3.7
9/2/12 22:00,28.2999,45,3,36,0,3.7,168,3.8
9/2/12 23:00,28.1,44,3,37,0,3.4,175,3.5
9/3/12 0:00,27.6,49,2,36,0,4.1999,158,4.1999
9/3/12 1:00,27,52,2,35,0,3.5999,156,3.7
9/3/12 2:00,27.5,49,3,127,0,3.5999,174,3.8
9/3/12 3:00,27.2999,51,2,34,0,5.0999,199,5.0999
9/3/12 4:00,27.1,52,2,33,0,4.9,193,4.9
9/3/12 5:00,27,52,2,33,0,4.1999,181,4.1999
9/3/12 6:00,27.2999,50,17,36,0,4.4,187,4.5
9/3/12 7:00,27.7,50,147,37,0,3.5999,181,3.7
9/3/12 8:00,28.7,48,443,35,0,4.3,168,4.5
9/3/12 9:00,29.7999,45,712,36,0,4,154,4.3
9/3/12 10:00,30.6,42,819,37,0,3.5,140,3.8
9/3/12 11:00,31.6,38,941,39,0,2.7,141,3.2
9/3/12 12:00,33,35,1016,41,0,1.1,158,2.5
9/3/12 13:00,33.4,32,557,42,0,1.1,186,3.5
9/3/12 14:00,32.2,34,230,42,0,3.4,293,3.5
9/3/12 15:00,33.4,31,448,44,0,2.5999,328,2.7
9/3/12 16:00,32.9,32,247,43,0,4.1999,5,4.3
9/3/12 17:00,32.7999,32,99,43,0,2.7,345,2.8
9/3/12 18:00,31.4,36,35,42,0,3,217,4.4
9/3/12 19:00,27.9,48,8,41,0,3.9,139,4.6999
9/3/12 20:00,26.7,50,2,42,0,3.3,206,3.4
9/3/12 21:00,27.5,47,2,41,0,3.9,175,4.1999
9/3/12 22:00,26.5,53,2,40,0,1.9,173,2.7
9/3/12 23:00,29,39,2,44,0,4.8,202,4.9
9/4/12 0:00,27.7999,49,2,39,0,3.9,163,4.4
9/4/12 1:00,28.7,46,2,40,0,5.0999,197,5.1999
9/4/12 2:00,28,49,2,129,0,3.3,180,3.7
9/4/12 3:00,26.2,55,1,36,0,0.1,172,1.2
9/4/12 4:00,25.1,58,1,32,0,1.6,202,2
9/4/12 5:00,24.9,59,1,32,0,1.7,206,1.8
9/4/12 6:00,24.4,60,12,30,0,1.5,211,1.7
9/4/12 7:00,25.7999,57,156,29,0,2.8,198,2.8
9/4/12 8:00,27.7,51,382,33,0,1.8,176,2.0999
9/4/12 9:00,28.7999,46,600,78,0,1.4,168,1.9
9/4/12 10:00,29.5,44,780,106,0,3.9,147,4.0999
9/4/12 11:00,30.5,41,909,44,0,4.3,139,4.4
9/4/12 12:00,31.7,38,974,44,0,4.5,156,4.8
9/4/12 13:00,32.9,34,990,44,0,3.8,153,4.0999
9/4/12 14:00,33.7999,32,935,45,0,1.8,144,3.0999
9/4/12 15:00,34.2999,29,643,46,0,2.4,102,2.9
9/4/12 16:00,34.4,28,348,46,0,1.7,130,2.4
9/4/12 17:00,34,28,106,46,0,1.4,141,1.6
9/4/12 18:00,33.5999,29,37,46,0,2.2,152,2.4
9/4/12 19:00,32.7999,29,6,45,0,2.4,146,2.5
9/4/12 20:00,31.2,32,1,41,0,2.3,191,2.4
9/4/12 21:00,30.7,39,1,40,0,4.0999,170,4.0999
9/4/12 22:00,30,41,1,38,0,3.7,184,3.8
9/4/12 23:00,30.1,40,1,40,0,6.0999,200,6.1999
9/5/12 0:00,29.9,41,1,42,0,5.8,189,5.8
9/5/12 1:00,29.2,43,1,41,0,6.3,190,6.4
9/5/12 2:00,28.5,45,1,131,0,7.5,195,7.5999
9/5/12 3:00,28.2,43,1,41,0,6.5999,195,6.6999
9/5/12 4:00,28.2999,39,1,44,0,4.4,189,4.4
9/5/12 5:00,28,39,1,44,0,3.8,179,3.9
9/5/12 6:00,27.4,42,11,43,0,2.7,172,2.8
9/5/12 7:00,28.2999,42,161,41,0,2.8,166,2.9
9/5/12 8:00,29.2999,40,385,42,0,3.5,166,3.5999
9/5/12 9:00,30.2,39,602,41,0,3.4,156,3.5999
9/5/12 10:00,31.2,36,784,42,0,3.0999,155,3.5
9/5/12 11:00,32.0999,34,910,43,0,2.4,116,2.8
9/5/12 12:00,33.4,31,966,44,0,0.3,282,2.2
9/5/12 13:00,34.5999,28,965,45,0,1,49,2.5
9/5/12 14:00,34.5,27,429,47,0,1.1,53,2.4
9/5/12 15:00,33.4,32,449,46,1.5,1.6,108,3.4
9/5/12 16:00,32.7999,33,172,43,0,4.5999,140,4.8
9/5/12 17:00,32.7999,31,136,46,0,4.1999,143,4.3
9/5/12 18:00,32.0999,29,31,47,0,3.0999,171,3.0999
9/5/12 19:00,31.2,30,2,46,0,1.8,187,2.5999
9/5/12 20:00,29.2999,36,1,44,0,2.2,306,2.3
9/5/12 21:00,28.1,41,1,42,0.2,1.1,266,1.7
9/5/12 22:00,28,40,1,43,0,2.2,232,2.5
9/5/12 23:00,27.4,42,1,39,0,2.5999,204,2.8
