State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
53,9,13,44201,1,48.29786,-124.62491,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.023792,0.026,9,24,, - ,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,Not in a city,"Port Angeles, WA",8/5/16
6,23,1005,44201,1,40.71528,-124.20139,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,20,83,0.0222,0.026,19,24,, - ,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,Not in a city,"Eureka-Arcata-Fortuna, CA",8/1/16
6,23,1004,44201,1,40.776944,-124.1775,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,21,88,0.022905,0.027,19,25,, - ,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",8/1/16
6,45,8,44201,1,39.14566,-123.20298,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.013375,0.016,13,15,, - ,Ukiah-Gobbi Street," 306 E. GOBBI STREET, UKIAH, CA",California,Mendocino,Ukiah,"Ukiah, CA",8/5/16
41,39,60,44201,1,44.026312,-123.083737,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.009208,0.014,8,13,, - ,Eugene - AMAZON PARK (EAP),AMAZON PARK/499 E 29TH,Oregon,Lane,Eugene,"Eugene, OR",8/4/16
41,39,1007,44201,1,43.8345,-123.0353,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.010708,0.017,11,16,, - ,Eugene - Saginaw,"79980 DELIGHT VALLEY SCHOOL RD, SAGINAW",Oregon,Lane,Not in a city,"Eugene, OR",8/4/16
6,33,3001,44201,1,39.0327,-122.92229,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.0135,0.022,11,20,, - ,Lakeport-Lakeport Blvd.,"905 LAKEPORT BLVD., LAKEPORT",California,Lake,Lakeport,"Clearlake, CA",8/4/16
41,47,4,44201,1,44.81029,-122.915085,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016625,0.019,8,18,, - ,Salem - Turner at Cascade School (CJH),CASCADE JR HIGH 10226 MARION RD TURNER O,Oregon,Marion,Not in a city,"Salem, OR",8/4/16
6,97,1003,44201,1,38.654069,-122.901857,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,18,75,0.015667,0.018,10,17,, - ,Healdsburg-Municipal Airport,"MUNICIPAL AIRPORT-200A HEIDELBERG WAY, HEALDSBURG",California,Sonoma,Healdsburg,"Santa Rosa, CA",8/2/16
41,67,1004,44201,1,45.402446,-122.854437,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.014292,0.02,10,19,, - , Sherwood  -  Lasich and Roy Rogers (SLR),"17180 SW Lasich Lane, Sherwood  -  Lasich and Roy Rogers (SLR)",Oregon,Washington,Not in a city,"Portland-Vancouver-Hillsboro, OR-WA",8/5/16
41,29,201,44201,1,42.229891,-122.7877,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.017083,0.028,11,26,, - ,Medford at Talent (South of Medford) - (TAL),"7112 RAPP LANE, TALENT",Oregon,Jackson,Not in a city,"Medford, OR",8/5/16
41,9,4,44201,1,45.768531,-122.7721,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.019167,0.023,12,21,, - ,SAUVIE ISLAND-SIS,"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",Oregon,Columbia,Not in a city,"Portland-Vancouver-Hillsboro, OR-WA",8/5/16
6,97,3,44201,1,38.443503,-122.710169,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.013542,0.017,10,16,, - ,Santa Rosa - 5th St,837 5TH ST.,California,Sonoma,Santa Rosa,"Santa Rosa, CA",8/2/16
6,93,2001,44201,1,41.726892,-122.633579,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.020042,0.033,11,31,, - ,Yreka,"530 FOOTHILL DR., YREKA",California,Siskiyou,Yreka,,8/2/16
53,57,11,44201,1,48.52059,-122.61428,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.022333,0.027,9,25,, - ,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",8/5/16
41,51,80,44201,1,45.496641,-122.602877,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015833,0.021,11,19,, - ,Portland - SE Lafayette,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,"Portland-Vancouver-Hillsboro, OR-WA",8/5/16
53,67,5,44201,1,46.952562,-122.59527,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.021167,0.03,9,28,, - ,YELM - NORTHERN PACIFIC,931 NORTHERN PACIFIC ROAD,Washington,Thurston,Yelm,"Olympia-Tumwater, WA",8/5/16
41,5,4,44201,1,45.25928,-122.588151,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015292,0.018,7,17,, - ,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,Not in a city,"Portland-Vancouver-Hillsboro, OR-WA",8/5/16
53,73,5,44201,1,48.95074,-122.55441,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015792,0.024,11,22,, - ,CUSTER - LOOMIS,1330 LOOMIS TRAIL RD,Washington,Whatcom,Custer,"Bellingham, WA",8/5/16
6,41,1,44201,1,37.97231,-122.520004,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.013708,0.015,0,14,, - ,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",8/5/16
